,occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat,age
5870,24427,occ,,,1744,Holocystis elegans,species,55367.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5871,24428,occ,,,1744,Lonsda,genus,3878.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5872,24429,occ,,,1745,Nuculana,genus,16083.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5873,24430,occ,,,1745,Aptolinter,genus,89425.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5874,24431,occ,,,1745,Pseudoptera,genus,16978.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5875,24432,occ,,,1745,Pinna robinaldina,species,366546.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5876,24433,occ,,,1745,Panopea,genus,61583.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5877,24434,occ,,,1745,Resatrix,genus,18186.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5878,24435,occ,,,1745,Parmicorbula,genus,18486.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5879,24436,occ,,,1745,Anchura,genus,9472.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5880,24437,occ,,,1745,Prodeshayesites,genus,15455.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5881,24438,occ,,,1745,Roloboceras,genus,15584.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5882,24439,occ,,,1745,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5883,24440,occ,,,1745,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5884,24441,occ,,,1745,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5885,24442,occ,,,1746,Pugilina (Mayeria),subgenus,11334.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5886,24443,occ,,,1746,Mithracites vectensis,species,221043.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5887,24444,occ,,,1746,Homarus,genus,22480.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5888,24445,occ,,,1746,Linuparus carteri,species,218393.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5889,24446,occ,,,1746,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5890,24447,occ,,,1746,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5891,24448,occ,,,1746,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5892,24449,occ,,,1746,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5893,24450,occ,,,1746,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5894,24451,occ,,,1746,Roloboceras hambrovi,species,144085.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5895,24452,occ,,,1746,Roloboceras,genus,15584.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5896,24453,occ,,,1746,Roloboceras,genus,15584.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5897,24454,occ,,,1746,Roloboceras,genus,15584.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5898,24455,occ,,,1746,Megatyloceras,genus,15171.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5899,24456,occ,,,1747,Gervillella sublanceolata,species,267366.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5900,24457,occ,,F,1747,Yaadia,genus,17292.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5901,24458,occ,,,1747,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5902,24459,occ,,,1747,Vectis wrighti,species,220880.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5903,24460,occ,,,1747,Virgiscalpellum wrighti,species,423284.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5904,24461,occ,,,1747,Cretiscalpellum,genus,22142.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5905,24462,occ,,,1747,Conoteuthis,genus,15855.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5906,24463,occ,,,1747,Trochotiara,genus,32994.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5907,24464,occ,,,1747,Lophidiaster,genus,31493.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5908,24465,occ,,,1747,Ancyloceras mantelli,species,144172.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5909,24466,occ,,,1747,Aconeceras nisoides,species,331721.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5910,24467,occ,,,1747,Aconeceras haugi,species,144177.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5911,24468,occ,,,1747,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5912,24469,occ,,,1747,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5913,24470,occ,,,1747,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5914,24471,occ,,,1747,Roloboceras hambrovi,species,144085.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5915,24472,occ,,,1747,Roloboceras,genus,15584.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5916,24473,occ,,,1747,Vectibelus vectensis,species,419350.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5917,24474,occ,,,1747,Conoteuthis dupinianus,species,348835.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5918,24475,occ,,,1747,Aptolinter,genus,89425.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5919,24476,occ,,,1747,Cucullaea,genus,16224.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5920,24477,occ,,,1747,Brachidontes,genus,16347.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5921,24478,occ,,,1747,Thetironia minor,species,417371.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5922,24479,occ,,,1747,Nemocardium,genus,17958.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5923,24480,occ,,,1747,Protocardia,genus,61928.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5924,24481,occ,,,1747,Mactromya,genus,17864.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5925,24482,occ,,,1747,Mediraon,genus,17880.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5926,24483,occ,,,1747,Venilicardia,genus,18388.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5927,24484,occ,,,1747,Venilicardia,genus,18388.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5928,24485,occ,,,1747,Vectianella,genus,18376.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5929,24486,occ,,,1747,Resatrix,genus,18186.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5930,24487,occ,,,1747,Resatrix,genus,18186.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5931,24488,occ,,,1747,Scittila,genus,18230.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5932,24489,occ,,,1747,Senis,genus,18243.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5933,24490,occ,,,1747,Pholadomya gigantea,species,299888.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5934,24491,occ,,,1747,Pholadomya,genus,18795.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5935,24492,occ,,,1747,Sulcoactaeon,genus,12014.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5936,24493,occ,,,1747,Tornatellaea,genus,12021.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5937,24494,occ,,,1747,Colostracon (Ovactaeonina),subgenus,11973.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5938,24495,occ,,,1747,Globularia,genus,9901.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5939,24496,occ,,,1747,Anchura,genus,9472.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5940,24497,occ,,,1747,Anchura,genus,9472.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5941,24498,occ,,,1747,Tessarolax,genus,10572.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5942,24499,occ,,,1747,Tessarolax,genus,10572.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5943,24500,occ,,,1747,Dimorphosoma,genus,337328.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5944,24501,occ,,,1747,Dimorphosoma,genus,337328.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5945,24502,occ,,,1747,Procerithium,genus,10313.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5946,24503,occ,,,1747,Mesalia,genus,10117.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5947,24504,occ,,,1747,Turritella,genus,10637.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5948,24505,occ,,,1747,Cassiope,genus,9602.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5949,24506,occ,,,1748,Atherfieldastacus magnus,species,149130.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5950,24507,occ,,,1748,Toxaster,genus,33490.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5951,24508,occ,,,1748,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5952,24509,occ,,,1748,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5953,24510,occ,,,1748,Sanmartinoceras,genus,15596.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5954,24511,occ,,,1748,Pseudosaynella fimbriata,species,145681.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5955,24512,occ,,,1748,Pseudosaynella,genus,15536.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5956,24513,occ,,,1750,Deshayesites deshayesi,species,130797.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5957,24514,occ,,,1750,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5958,24515,occ,,,1750,Deshayesites multicostatus,species,357170.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5959,24516,occ,,,1750,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5960,24517,occ,,,1750,Cheloniceras,genus,14683.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5961,24518,occ,,,1750,Toxoceratoides royerianus,species,464672.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5962,24519,occ,,,1750,Toxoceratoides,genus,97478.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5963,24520,occ,,,1751,Sellithyris sella,species,287295.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5964,24521,occ,,,1751,Sulcirhynchia,genus,28953.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5965,24522,occ,,,1751,Exogyra,genus,16655.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5966,24523,occ,,,1751,Gervillaria,genus,16674.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5967,24524,occ,,,1752,Exogyra,genus,16655.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5968,24525,occ,,,1752,Pinna robinaldina,species,366546.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5969,24526,occ,,,1752,Prohinnites,genus,16953.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5970,24527,occ,,,1752,Cheloniceras,genus,14683.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5971,24528,occ,,,1752,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5972,24529,occ,,,1752,Serpula,genus,7222.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5973,24530,occ,,,1749,Anchura,genus,9472.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5974,24531,occ,,,1749,Toxoceratoides royerianus,species,464672.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5975,24532,occ,,,1749,Toxoceratoides,genus,97478.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5976,24533,occ,,,1749,Deshayesites grandis,species,464666.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5977,24534,occ,,,1749,Cheloniceras,genus,14683.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5978,24535,occ,,,1749,Aconeceras nisoides,species,331721.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5979,24536,occ,,,1753,Deshayesites grandis,species,464666.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5980,24537,occ,,,1753,Australiceras,genus,14599.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5981,24538,occ,,,1753,Cheloniceras (Cheloniceras) cornuelianum,species,144199.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5982,24539,occ,,,1753,Cheloniceras crassum,species,464667.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5983,24540,occ,,,1754,Cymatoceras pseudoelegans,species,132031.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5984,24541,occ,,,1754,Eucymatoceras plicatum,species,313367.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5985,24542,occ,,,1754,Panopea,genus,61583.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5986,24543,occ,,,1754,Sphaera corrugata,species,323162.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5987,24544,occ,,,1754,Pterotrigonia,genus,17266.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5988,24545,occ,,,1754,Pseudaphrodina,genus,18137.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5989,24546,occ,,,1754,Tetragramma,genus,32929.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5990,24547,occ,,,1754,Hyposalenia,genus,32895.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5991,24548,occ,,,1754,Homarus,genus,22480.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5992,24549,occ,,,1754,Australiceras,genus,14599.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5993,24550,occ,,,1754,Australiceras,genus,14599.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5994,24551,occ,,,1754,Epancyloceras,genus,14835.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5995,24552,occ,,,1754,Tonohamites,genus,94507.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5996,24553,occ,,,1754,Cheloniceras (Cheloniceras) cornuelianum,species,144199.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5997,24554,occ,,,1754,Cheloniceras crassum,species,464667.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5998,24555,occ,,,1754,Cheloniceras,genus,14683.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
5999,24556,occ,,,1754,Cheloniceras,genus,14683.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6000,24557,occ,,,1754,Deshayesites grandis,species,464666.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6001,24558,occ,,,1754,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6002,24559,occ,,,1754,Deshayesites,genus,14761.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6003,24560,occ,,,1755,Exogyra,genus,16655.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6004,24561,occ,,,1756,Tropaeum (Tropaeum) bowerbanki,species,337950.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6005,24562,occ,,,1756,,,,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6006,24563,occ,,,1756,Australiceras,genus,14599.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6007,24564,occ,,,1756,Tonohamites,genus,94507.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6008,24565,occ,,,1756,Cheloniceras (Cheloniceras) cornuelianum,species,144199.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6009,24566,occ,,,1756,Cheloniceras crassum,species,464667.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6010,24567,occ,,,1756,Cheloniceras,genus,14683.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6011,24568,occ,,,1756,Dufrenoyia,genus,197556.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6012,24569,occ,,,1756,Dufrenoyia,genus,197556.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6013,24570,occ,,,1756,Dufrenoyia,genus,197556.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6014,24571,occ,,,1756,Dufrenoyia,genus,197556.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6015,24572,occ,,,1756,Dufrenoyia,genus,197556.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6016,24573,occ,,,1756,Sellithyris sella,species,287295.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6017,24574,occ,,,1757,Tropaeum (Tropaeum) bowerbanki,species,337950.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6018,24575,occ,,,1757,Cheloniceras (Cheloniceras) cornuelianum,species,144199.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6019,24576,occ,,,1757,Cheloniceras crassum,species,464667.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6020,24577,occ,,,1757,Cheloniceras,genus,14683.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6021,24578,occ,,,1757,Dufrenoyia,genus,197556.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6022,24579,occ,,,1757,Dufrenoyia,genus,197556.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6023,24580,occ,,,1757,Tonohamites aequicingulatus,species,342462.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6024,24581,occ,,,1757,Cucullaea,genus,16224.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6025,24582,occ,,,1757,Thetironia minor,species,417371.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6026,24583,occ,,,1757,Panopea,genus,61583.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6027,24584,occ,,,1757,Mimachlamys robinaldina,species,359174.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6028,24585,occ,,,1757,Resatrix,genus,18186.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6029,24586,occ,,,1757,Arca,genus,16203.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6030,24587,occ,,,1758,Dufrenoyia,genus,197556.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6031,24588,occ,,,1758,Cheloniceras,genus,14683.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6032,24589,occ,,,1758,Cheloniceras,genus,14683.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6033,24590,occ,,,1759,Cheloniceras martinioides,species,481258.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6034,24591,occ,,,1759,Cheloniceras debile,species,144202.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6035,24592,occ,,,1759,Cheloniceras (Epicheloniceras) tschernyschewi,species,319211.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6036,24593,occ,,,1759,Tropaeum,genus,15763.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6037,24594,occ,,,1759,Ammonitoceras,genus,14541.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6038,24595,occ,,,1759,Gervillella sublanceolata,species,267366.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6039,24596,occ,,,1759,Panopea,genus,61583.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6040,24597,occ,,F,1759,Yaadia,genus,17292.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6041,24598,occ,,,1759,Linotrigonia,genus,17226.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6042,24599,occ,,,1759,Venilicardia,genus,18388.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6043,24600,occ,,,1759,Anchura,genus,9472.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6044,24601,occ,,,1760,Epicheloniceras,genus,14839.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6045,24602,occ,,,1760,Sellithyris,genus,30530.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6046,24603,occ,,,1760,Ammonitoceras,genus,14541.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6047,24604,occ,,,1760,Australiceras,genus,14599.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6048,24605,occ,,,1760,Cheloniceras (Epicheloniceras) tschernyschewi,species,319211.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6049,24606,occ,,,1760,Cheloniceras,genus,14683.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6050,24607,occ,,,1760,Cheloniceras,genus,14683.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6051,24608,occ,,,1760,Cheloniceras,genus,14683.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6052,24609,occ,,,1760,Aconeceras nisum,species,144175.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6053,24610,occ,,,1760,Neocomiceramus neocomiensis,species,90459.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6054,24611,occ,,,1760,Resatrix,genus,18186.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6055,24612,occ,,,1760,Modiolus aequalis,species,264302.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6056,24613,occ,,,1760,Thetironia minor,species,417371.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6057,24614,occ,,,1760,Chilodonta,genus,8655.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6058,24615,occ,,,1760,Phyllobrissus,genus,33238.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6059,24616,occ,,,1760,Toxaster,genus,33490.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6060,24617,occ,,,1760,Serpula,genus,7222.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6061,24618,occ,,,1761,Exogyra,genus,16655.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6062,24619,occ,,,1762,Cheloniceras buxtorfi,species,144204.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6063,24620,occ,,,1763,Pterotrigonia,genus,17266.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6064,24621,occ,,,1763,Thetironia minor,species,417371.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6065,24622,occ,,,1763,Parahoplites,genus,15336.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6066,24623,occ,,,1764,Thetironia minor,species,417371.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6067,24624,occ,,,1764,Lucina,genus,17835.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6068,24625,occ,,,1764,Pterotrigonia,genus,17266.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6069,24626,occ,,,1764,Cucullaea,genus,16224.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6070,24627,occ,,,1764,Senis,genus,18243.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6071,24628,occ,,,1764,Resatrix,genus,18186.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6072,24629,occ,,,1764,Parmicorbula,genus,18486.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6073,24630,occ,,,1764,Globularia,genus,9901.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6074,24631,occ,,,1764,Anchura,genus,9472.0,Aptian,,125.0,113.0,47,-1.316667,50.599998,120.0
6098,24655,occ,,,1767,Prodeshayesites,genus,15455.0,Aptian,,125.0,113.0,47,-1.15,50.650002,120.0
6099,24656,occ,,,1767,,,,Aptian,,125.0,113.0,47,-1.15,50.650002,120.0
6100,24657,occ,,,1767,Prodeshayesites,genus,15455.0,Aptian,,125.0,113.0,47,-1.15,50.650002,120.0
